Original_Name	Blinded_Name
Condition_4treatment__568_Tubulin647_044.tif	blind_0109
Condition_4treatment__568_Tubulin647_045.tif	blind_0107
Condition_4treatment__568_Tubulin647_046.tif	blind_0063
Condition_4treatment__568_Tubulin647_047.tif	blind_0091
Condition_4treatment__568_Tubulin647_048.tif	blind_0077
Condition_4treatment__568_Tubulin647_049.tif	blind_0015
Condition_4treatment__568_Tubulin647_050-1.tif	blind_0103
Condition_4treatment__568_Tubulin647_050.tif	blind_0106
Condition_4treatment__568_Tubulin647_051.tif	blind_0097
Condition_4treatment__568_Tubulin647_052.tif	blind_0045
Condition_4treatment__568_Tubulin647_053.tif	blind_0046
Condition_4treatment__568_Tubulin647_054.tif	blind_0083
Condition_4treatment__568_Tubulin647_055.tif	blind_0057
Condition_4treatment__568_Tubulin647_034.tif	blind_0012
Condition_4treatment__568_Tubulin647_035.tif	blind_0044
Condition_4treatment__568_Tubulin647_036.tif	blind_0008
Condition_4treatment__568_Tubulin647_037.tif	blind_0066
Condition_4treatment__568_Tubulin647_038-1.tif	blind_0095
Condition_4treatment__568_Tubulin647_038.tif	blind_0033
Condition_4treatment__568_Tubulin647_039.tif	blind_0026
Condition_4treatment__568_Tubulin647_040.tif	blind_0073
Condition_4treatment__568_Tubulin647_041.tif	blind_0040
Condition_4treatment__568_Tubulin647_042.tif	blind_0052
Condition_4treatment__568_Tubulin647_043-1.tif	blind_0058
Condition_4treatment__568_Tubulin647_043.tif	blind_0009
Condition_4treatment__568_Tubulin647_001.tif	blind_0070
Condition_4treatment__568_Tubulin647_002.tif	blind_0068
Condition_4treatment__568_Tubulin647_003.tif	blind_0028
Condition_4treatment__568_Tubulin647_004.tif	blind_0025
Condition_4treatment__568_Tubulin647_005.tif	blind_0017
Condition_4treatment__568_Tubulin647_006.tif	blind_0047
Condition_4treatment__568_Tubulin647_007.tif	blind_0102
Condition_4treatment__568_Tubulin647_008.tif	blind_0093
Condition_4treatment__568_Tubulin647_009.tif	blind_0079
Condition_4treatment__568_Tubulin647_010.tif	blind_0088
Condition_4treatment__568_Tubulin647_011.tif	blind_0021
Condition_4treatment__568_Tubulin647_012.tif	blind_0092
Condition_4treatment__568_Tubulin647_013.tif	blind_0036
Condition_4treatment__568_Tubulin647_014.tif	blind_0042
Condition_4treatment__568_Tubulin647_015.tif	blind_0067
Condition_4treatment__568_Tubulin647_016.tif	blind_0038
Condition_4treatment__568_Tubulin647_017.tif	blind_0023
Condition_4treatment__568_Tubulin647_018.tif	blind_0074
Condition_4treatment__568_Tubulin647_019.tif	blind_0069
Condition_4treatment__568_Tubulin647_020.tif	blind_0022
Condition_4treatment__568_Tubulin647_021.tif	blind_0081
Condition_4treatment__568_Tubulin647_022.tif	blind_0054
Condition_4treatment__568_Tubulin647_023.tif	blind_0076
Condition_4treatment__568_Tubulin647_024.tif	blind_0024
Condition_4treatment__568_Tubulin647_025-1.tif	blind_0105
Condition_4treatment__568_Tubulin647_025.tif	blind_0085
Condition_4treatment__568_Tubulin647_026.tif	blind_0059
Condition_4treatment__568_Tubulin647_027.tif	blind_0084
Condition_4treatment__568_Tubulin647_028.tif	blind_0104
Condition_4treatment__568_Tubulin647_029.tif	blind_0072
Condition_4treatment__568_Tubulin647_030.tif	blind_0014
Condition_4treatment__568_Tubulin647_031.tif	blind_0018
Condition_4treatment__568_Tubulin647_032.tif	blind_0087
Condition_4treatment__568_Tubulin647_033.tif	blind_0108
Condition_4control__568_Tubulin647_067.tif	blind_0089
Condition_4control__568_Tubulin647_068.tif	blind_0075
Condition_4control__568_Tubulin647_069.tif	blind_0001
Condition_4control__568_Tubulin647_070.tif	blind_0099
Condition_4control__568_Tubulin647_071.tif	blind_0071
Condition_4control__568_Tubulin647_072-1.tif	blind_0056
Condition_4control__568_Tubulin647_072-2.tif	blind_0035
Condition_4control__568_Tubulin647_072.tif	blind_0010
Condition_4control__568_Tubulin647_073.tif	blind_0051
Condition_4control__568_Tubulin647_074-1.tif	blind_0060
Condition_4control__568_Tubulin647_074.tif	blind_0031
Condition_4control__568_Tubulin647_075.tif	blind_0037
Condition_4control__568_Tubulin647_076.tif	blind_0053
Condition_4control__568_Tubulin647_077.tif	blind_0003
Condition_4control__568_Tubulin647_078.tif	blind_0061
Condition_4control__568_Tubulin647_079.tif	blind_0098
Condition_4control__568_Tubulin647_080.tif	blind_0048
Condition_4control__568_Tubulin647_081.tif	blind_0090
Condition_4control__568_Tubulin647_082.tif	blind_0020
Condition_4control__568_Tubulin647_083.tif	blind_0064
Condition_4control__568_Tubulin647_084.tif	blind_0094
Condition_4control__568_Tubulin647_085.tif	blind_0050
Condition_4control__568_Tubulin647_086.tif	blind_0082
Condition_4control__568_Tubulin647_056.tif	blind_0062
Condition_4control__568_Tubulin647_057-1.tif	blind_0007
Condition_4control__568_Tubulin647_057.tif	blind_0096
Condition_4control__568_Tubulin647_058.tif	blind_0034
Condition_4control__568_Tubulin647_059-1.tif	blind_0100
Condition_4control__568_Tubulin647_059.tif	blind_0013
Condition_4control__568_Tubulin647_060-1.tif	blind_0016
Condition_4control__568_Tubulin647_060.tif	blind_0078
Condition_4control__568_Tubulin647_061.tif	blind_0030
Condition_4control__568_Tubulin647_062.tif	blind_0019
Condition_4control__568_Tubulin647_063.tif	blind_0080
Condition_4control__568_Tubulin647_064.tif	blind_0027
Condition_4control__568_Tubulin647_065.tif	blind_0006
Condition_4control__568_Tubulin647_066-1.tif	blind_0029
Condition_4control__568_Tubulin647_066.tif	blind_0086
Condition_4control__568_Tubulin647_087.tif	blind_0039
Condition_4control__568_Tubulin647_088.tif	blind_0011
Condition_4control__568_Tubulin647_089.tif	blind_0041
Condition_4control__568_Tubulin647_090.tif	blind_0101
Condition_4control__568_Tubulin647_091.tif	blind_0049
Condition_4control__568_Tubulin647_092.tif	blind_0055
Condition_4control__568_Tubulin647_093.tif	blind_0005
Condition_4control__568_Tubulin647_094.tif	blind_0032
Condition_4control__568_Tubulin647_095.tif	blind_0002
Condition_4control__568_Tubulin647_096-1.tif	blind_0004
Condition_4control__568_Tubulin647_096.tif	blind_0065
Condition_4control__568_Tubulin647_097.tif	blind_0043
