Original_Name	Blinded_Name
Condition_4treatment__568_Tubulin647_054.tif	blind_0023
Condition_4treatment__568_Tubulin647_055.tif	blind_0029
Condition_4treatment__568_Tubulin647_056.tif	blind_0048
Condition_4treatment__568_Tubulin647_057-1.tif	blind_0053
Condition_4treatment__568_Tubulin647_057.tif	blind_0015
Condition_4treatment__568_Tubulin647_058.tif	blind_0065
Condition_4treatment__568_Tubulin647_059.tif	blind_0071
Condition_4treatment__568_Tubulin647_060.tif	blind_0066
Condition_4treatment__568_Tubulin647_061.tif	blind_0064
Condition_4treatment__568_Tubulin647_062.tif	blind_0035
Condition_4treatment__568_Tubulin647_063.tif	blind_0007
Condition_4treatment__568_Tubulin647_064.tif	blind_0046
Condition_4treatment__568_Tubulin647_067.tif	blind_0002
Condition_4treatment__568_Tubulin647_068.tif	blind_0010
Condition_4treatment__568_Tubulin647_069.tif	blind_0045
Condition_4treatment__568_Tubulin647_070.tif	blind_0003
Condition_4treatment__568_Tubulin647_045.tif	blind_0016
Condition_4treatment__568_Tubulin647_046.tif	blind_0038
Condition_4treatment__568_Tubulin647_047.tif	blind_0005
Condition_4treatment__568_Tubulin647_048.tif	blind_0076
Condition_4treatment__568_Tubulin647_049.tif	blind_0030
Condition_4treatment__568_Tubulin647_050.tif	blind_0011
Condition_4treatment__568_Tubulin647_051-1.tif	blind_0027
Condition_4treatment__568_Tubulin647_051.tif	blind_0072
Condition_4treatment__568_Tubulin647_052.tif	blind_0020
Condition_4treatment__568_Tubulin647_053.tif	blind_0047
Condition_4treatment__568_Tubulin647_071.tif	blind_0049
Condition_4treatment__568_Tubulin647_072.tif	blind_0067
Condition_4treatment__568_Tubulin647_073.tif	blind_0052
Condition_4treatment__568_Tubulin647_074.tif	blind_0069
Condition_4treatment__568_Tubulin647_075.tif	blind_0061
Condition_4control__568_Tubulin647_076.tif	blind_0075
Condition_4control__568_Tubulin647_077.tif	blind_0017
Condition_4control__568_Tubulin647_078.tif	blind_0001
Condition_4control__568_Tubulin647_079.tif	blind_0041
Condition_4control__568_Tubulin647_080.tif	blind_0078
Condition_4control__568_Tubulin647_081.tif	blind_0043
Condition_4control__568_Tubulin647_082.tif	blind_0022
Condition_4control__568_Tubulin647_083.tif	blind_0037
Condition_4control__568_Tubulin647_084.tif	blind_0062
Condition_4control__568_Tubulin647_085.tif	blind_0013
Condition_4control__568_Tubulin647_086.tif	blind_0040
Condition_4control__568_Tubulin647_087.tif	blind_0039
Condition_4control__568_Tubulin647_013.tif	blind_0006
Condition_4control__568_Tubulin647_014.tif	blind_0044
Condition_4control__568_Tubulin647_015-1.tif	blind_0026
Condition_4control__568_Tubulin647_015.tif	blind_0008
Condition_4control__568_Tubulin647_016.tif	blind_0056
Condition_4control__568_Tubulin647_017.tif	blind_0070
Condition_4control__568_Tubulin647_018.tif	blind_0054
Condition_4control__568_Tubulin647_019.tif	blind_0012
Condition_4control__568_Tubulin647_020.tif	blind_0063
Condition_4control__568_Tubulin647_021.tif	blind_0077
Condition_4control__568_Tubulin647_022.tif	blind_0051
Condition_4control__568_Tubulin647_023.tif	blind_0034
Condition_4control__568_Tubulin647_024-1.tif	blind_0025
Condition_4control__568_Tubulin647_024.tif	blind_0021
Condition_4control__568_Tubulin647_025.tif	blind_0042
Condition_4control__568_Tubulin647_026.tif	blind_0057
Condition_4control__568_Tubulin647_027.tif	blind_0074
Condition_4control__568_Tubulin647_028.tif	blind_0050
Condition_4control__568_Tubulin647_029.tif	blind_0014
Condition_4control__568_Tubulin647_030.tif	blind_0059
Condition_4control__568_Tubulin647_031.tif	blind_0031
Condition_4control__568_Tubulin647_032.tif	blind_0033
Condition_4control__568_Tubulin647_033.tif	blind_0055
Condition_4control__568_Tubulin647_034.tif	blind_0068
Condition_4control__568_Tubulin647_035.tif	blind_0058
Condition_4control__568_Tubulin647_036.tif	blind_0060
Condition_4control__568_Tubulin647_037.tif	blind_0073
Condition_4control__568_Tubulin647_038.tif	blind_0028
Condition_4control__568_Tubulin647_039.tif	blind_0004
Condition_4control__568_Tubulin647_040-1.tif	blind_0032
Condition_4control__568_Tubulin647_040.tif	blind_0009
Condition_4control__568_Tubulin647_041.tif	blind_0024
Condition_4control__568_Tubulin647_042.tif	blind_0019
Condition_4control__568_Tubulin647_043.tif	blind_0018
Condition_4control__568_Tubulin647_044.tif	blind_0036
